iter	MultiClass
0	6.657624661
1	6.647885409
2	6.639771969
3	6.628118446
4	6.617167881
5	6.607810787
6	6.59661567
7	6.587443537
8	6.576594423
9	6.565518598
10	6.554909113
11	6.544626923
12	6.534681668
13	6.522847294
14	6.512740711
15	6.505416007
16	6.495533339
17	6.483813402
18	6.473832793
19	6.463465652
20	6.452425694
21	6.445807246
22	6.43719296
23	6.425948282
24	6.416193102
25	6.40645783
26	6.396119944
27	6.386114672
28	6.375180022
29	6.363381982
30	6.353097729
31	6.342653746
32	6.334943407
33	6.32489517
34	6.316193157
35	6.308050148
36	6.298581785
37	6.289153462
38	6.278027604
39	6.269318102
40	6.259816239
41	6.249266261
42	6.238509878
43	6.228130899
44	6.21690096
45	6.205620928
46	6.194054125
47	6.184902386
48	6.174353387
49	6.164860277
50	6.152832742
51	6.141436472
52	6.131575537
53	6.123340212
54	6.11750607
55	6.107131627
56	6.097196518
57	6.086915073
58	6.076871235
59	6.066809634
60	6.055930129
61	6.045076489
62	6.034399781
63	6.023501192
64	6.012353859
65	6.002814607
66	5.991761442
67	5.982254299
68	5.974624258
69	5.966746602
70	5.955564735
71	5.946455771
72	5.935750472
73	5.925318762
74	5.915282628
75	5.906386879
76	5.895499971
77	5.884584874
78	5.876169637
79	5.865734941
80	5.855478936
81	5.847250173
82	5.838411456
83	5.828145015
84	5.8181613
85	5.808599245
86	5.798982063
87	5.788206102
88	5.7780272
89	5.769622721
90	5.759350281
91	5.752489226
92	5.743828231
93	5.732833196
94	5.722106312
95	5.713452453
96	5.703715294
97	5.694082137
98	5.68467479
99	5.677314911
